audio_id,start_time,end_time,speaker
qjbESyxHUB,3.34,3.88,E
qjbESyxHUB,5.57,5.94,A
qjbESyxHUB,5.6,6.01,E
qjbESyxHUB,10.48,10.88,E
qjbESyxHUB,11.09,15.53,A
qjbESyxHUB,16.77,18.05,E
qjbESyxHUB,17.08,19.61,D
qjbESyxHUB,18.95,19.26,A
qjbESyxHUB,19.01,20.77,E
qjbESyxHUB,21.41,25.77,A
qjbESyxHUB,22.98,23.27,E
qjbESyxHUB,25.08,27.44,E
qjbESyxHUB,28.09,40.05,A
qjbESyxHUB,38.78,39.41,D
qjbESyxHUB,42.24,47.46,A
qjbESyxHUB,46.83,85.08,E
qjbESyxHUB,56.64,56.89,A
qjbESyxHUB,78.81,79.13,B
qjbESyxHUB,80.02,80.38,A
qjbESyxHUB,84.38,94.71,B
qjbESyxHUB,93.23,112.89,E
qjbESyxHUB,93.75,94.23,D
qjbESyxHUB,104.0,104.58,B
qjbESyxHUB,109.77,110.22,D
qjbESyxHUB,114.6,126.65,E
qjbESyxHUB,121.94,122.14,A
qjbESyxHUB,129.11,157.37,E
qjbESyxHUB,155.48,161.69,A
qjbESyxHUB,159.79,160.24,E
qjbESyxHUB,160.34,160.72,D
qjbESyxHUB,161.57,197.57,E
qjbESyxHUB,186.8,187.52,A
qjbESyxHUB,210.58,210.74,E
qjbESyxHUB,211.33,220.58,C
qjbESyxHUB,213.16,213.63,E
qjbESyxHUB,218.42,218.86,E
qjbESyxHUB,221.0,221.49,E
qjbESyxHUB,222.11,232.21,D
qjbESyxHUB,228.97,229.3,E
qjbESyxHUB,231.74,250.49,E
qjbESyxHUB,252.25,252.73,E
qjbESyxHUB,252.27,257.5,A
qjbESyxHUB,253.03,253.5,B
qjbESyxHUB,257.88,293.12,E
qjbESyxHUB,265.84,266.2,A
qjbESyxHUB,294.86,295.53,D
qjbESyxHUB,295.65,306.14,E
qjbESyxHUB,297.33,297.64,D
qjbESyxHUB,310.94,315.6,D
qjbESyxHUB,313.4,313.58,E
qjbESyxHUB,316.12,319.83,E
qjbESyxHUB,320.21,325.29,D
qjbESyxHUB,325.84,326.08,E
qjbESyxHUB,326.69,342.02,D
qjbESyxHUB,343.38,347.15,E
qjbESyxHUB,348.82,392.85,E
qjbESyxHUB,393.66,398.87,D
qjbESyxHUB,400.12,408.29,E
qjbESyxHUB,401.19,401.52,D
qjbESyxHUB,406.39,406.85,B
qjbESyxHUB,408.25,408.56,D
qjbESyxHUB,411.68,442.42,E
qjbESyxHUB,443.88,484.7,E
qjbESyxHUB,460.98,461.22,A
qjbESyxHUB,461.27,461.69,B
qjbESyxHUB,474.82,475.0,B
qjbESyxHUB,479.62,480.4,A
qjbESyxHUB,486.61,494.66,E
qjbESyxHUB,494.53,510.79,D
qjbESyxHUB,495.69,496.47,B
qjbESyxHUB,511.55,528.45,B
qjbESyxHUB,529.21,531.52,E
